Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
1,1,60,1,1,3453,5,5,5,5,5,4,5,3,3,3,3,3,3,3,3,0.0,1
1,1,60,1,1,2761,3,3,3,3,3,4,4,5,5,5,5,4,5,3,1,0.0,1
0,1,29,0,2,1374,2,4,2,1,3,2,3,3,5,5,5,3,5,3,0,0.0,0
0,1,39,0,2,2108,3,4,3,3,5,3,5,5,5,3,5,5,4,5,0,0.0,0
1,1,40,1,1,2606,1,1,1,1,3,4,4,5,5,5,5,3,5,5,11,0.0,1
0,1,53,1,1,1437,2,1,2,1,4,3,3,2,2,2,2,2,2,1,0,0.0,0
0,1,51,1,1,2464,3,3,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,1
0,1,17,0,2,2432,3,4,3,5,1,3,1,1,3,5,5,3,5,1,4,0.0,0
1,1,51,1,1,203,3,3,1,3,4,4,2,3,3,4,5,5,3,1,12,5.0,1
0,1,60,1,2,1218,5,3,1,1,5,5,5,5,1,4,5,3,5,5,0,4.0,1
0,0,24,1,2,2616,1,1,1,3,5,1,5,5,5,4,4,4,5,5,0,0.0,0
0,1,35,0,2,2623,3,3,3,3,3,3,3,3,4,3,4,1,4,3,42,37.0,0
1,1,39,1,1,560,3,1,1,1,2,3,3,3,3,3,3,2,3,2,0,0.0,0
0,0,26,1,2,1151,3,4,3,3,3,3,3,3,2,5,3,4,3,3,0,0.0,0
1,0,24,1,1,1862,4,1,4,2,1,4,1,1,4,2,5,4,5,1,0,0.0,1
1,0,28,1,1,1933,5,5,5,5,4,5,4,4,3,5,4,4,4,4,45,38.0,1
1,1,40,0,3,1383,1,1,1,1,5,5,5,4,4,4,4,3,4,3,0,0.0,1
1,1,36,1,1,1633,5,5,5,5,2,4,5,5,5,5,5,5,5,4,37,18.0,1
1,0,34,1,2,1618,3,3,3,2,1,3,1,1,2,1,3,4,3,1,1,21.0,0
0,1,41,1,1,2754,5,5,5,5,1,4,1,4,4,4,4,2,4,5,0,0.0,1
0,1,54,0,2,4048,1,5,1,4,1,1,4,3,3,3,5,4,4,4,0,0.0,0
1,1,32,1,1,4110,5,4,4,4,5,4,5,5,3,3,2,4,3,5,44,40.0,0
0,1,70,0,3,2083,3,4,3,2,2,3,2,2,5,5,5,4,4,2,29,16.0,0
1,1,39,0,2,3497,1,1,1,1,4,4,4,4,4,4,5,2,1,4,0,0.0,1
1,0,38,1,2,3112,3,3,3,3,3,3,3,3,3,4,4,2,2,3,0,0.0,0
1,1,22,1,1,4467,4,4,4,4,5,5,5,5,3,3,5,4,4,5,0,0.0,1
0,1,39,1,3,1454,5,5,5,5,5,5,5,5,4,2,4,4,4,5,1,16.0,1
0,1,33,1,1,972,2,2,2,2,5,5,5,5,5,5,3,5,5,5,0,0.0,1
1,1,29,0,2,2383,0,3,0,3,5,0,5,5,3,2,3,3,3,5,0,0.0,1
0,1,32,0,1,1868,3,4,3,3,3,3,3,3,2,5,4,1,1,3,24,27.0,0
1,1,55,1,1,3622,5,5,5,5,3,4,5,4,4,5,4,4,4,5,0,0.0,1
1,1,37,0,2,1469,0,0,0,5,2,5,4,1,1,1,1,3,1,3,32,24.0,1
1,1,31,1,1,2974,2,3,3,3,2,2,2,2,2,2,3,3,4,2,1,24.0,0
0,1,18,0,2,1621,4,2,4,3,2,4,2,2,4,2,4,3,4,2,63,58.0,0
0,1,45,1,1,3937,1,1,1,1,2,4,4,4,4,4,4,5,4,4,17,7.0,1
0,1,22,1,1,2856,5,5,5,5,4,5,4,4,5,2,5,2,4,4,0,0.0,1
0,0,52,1,2,2512,3,4,3,3,3,4,4,3,4,4,4,4,4,4,134,129.0,0
0,1,59,1,2,1644,3,2,2,2,3,3,3,3,4,2,4,1,3,3,0,0.0,0
0,1,57,1,2,2744,5,5,4,4,5,5,5,5,4,5,4,3,2,5,0,0.0,1
1,0,33,1,2,1143,4,0,3,3,1,3,1,1,4,2,2,3,5,1,0,0.0,0
0,1,33,1,1,2061,2,2,2,2,4,4,4,4,3,2,4,1,5,4,1,0.0,1
1,1,38,0,2,3101,1,1,1,1,2,4,5,4,4,4,4,3,4,5,14,0.0,1
1,0,40,1,1,2057,2,2,2,3,1,2,1,1,4,3,5,3,4,1,6,4.0,0
1,1,65,1,3,383,2,3,1,3,1,3,3,2,2,2,2,3,2,3,30,14.0,0
1,0,29,1,3,2325,1,0,0,3,3,0,3,3,4,5,4,2,3,3,42,41.0,0
1,1,27,0,2,1691,2,5,4,5,5,3,3,2,2,2,2,2,2,5,0,0.0,1
1,1,72,1,1,2683,1,1,2,1,3,4,5,4,4,4,5,3,4,5,4,0.0,1
0,1,54,1,1,2268,1,1,1,1,2,5,4,4,4,4,4,3,4,4,0,0.0,1
1,1,55,1,1,1479,5,5,5,5,5,5,5,4,4,4,4,3,4,4,0,1.0,1
1,1,50,1,1,3702,3,3,3,3,2,4,5,4,4,4,4,5,4,3,0,0.0,1
0,1,21,0,2,1606,1,1,0,3,2,0,2,2,4,1,3,1,4,2,54,48.0,0
1,1,42,1,1,2253,2,2,3,2,3,4,5,5,5,5,5,5,5,5,1,0.0,1
0,0,19,1,2,2204,4,4,4,4,3,4,3,3,1,1,4,1,4,3,49,56.0,0
1,1,15,0,2,3659,3,3,3,3,2,3,5,4,4,4,4,3,4,1,0,12.0,1
0,1,37,1,1,3877,2,2,2,2,2,4,4,4,4,4,4,5,4,5,0,0.0,1
1,1,42,1,1,3565,0,0,0,3,2,3,1,3,3,3,3,5,3,2,0,0.0,1
0,1,43,1,1,2439,3,3,3,3,2,5,4,5,5,5,5,3,5,5,130,119.0,1
0,0,35,1,2,3934,3,3,3,3,4,3,4,4,1,5,3,3,4,4,0,0.0,0
1,0,28,1,2,2112,2,2,2,4,2,2,2,2,4,3,2,5,5,2,0,36.0,1
0,1,26,0,2,1608,1,4,1,3,3,1,3,3,5,5,5,4,4,3,32,17.0,0
0,1,69,0,1,755,5,5,5,4,5,4,5,4,4,5,4,3,4,3,7,0.0,1
1,1,28,1,1,3539,3,3,2,3,3,3,3,3,3,5,3,1,3,3,6,9.0,0
1,1,50,1,1,2005,1,1,1,1,2,3,4,5,5,5,5,5,5,4,0,0.0,1
1,1,44,1,1,2915,2,2,2,2,2,4,4,4,4,4,5,3,4,5,67,56.0,1
1,1,13,0,3,1992,4,4,4,4,2,4,5,2,2,4,4,1,2,1,0,0.0,1
0,1,67,0,2,2644,2,5,2,3,4,2,4,4,4,2,4,4,5,4,0,0.0,0
1,0,26,1,1,2369,3,4,4,2,2,4,5,2,5,4,5,5,5,2,0,0.0,0
0,1,37,1,2,2264,5,3,3,3,5,5,5,5,2,2,5,2,3,5,30,28.0,1
1,0,26,1,2,2223,3,4,4,3,2,4,2,2,2,4,4,2,4,2,0,0.0,0
1,0,44,1,1,1881,2,1,1,3,3,2,3,3,3,2,5,3,5,3,0,0.0,0
0,1,28,0,2,2022,2,4,2,3,4,2,4,4,4,5,4,5,5,4,0,0.0,0
1,0,28,1,2,1913,1,1,1,2,5,1,1,5,1,1,1,2,3,5,0,0.0,0
1,0,36,1,2,1741,4,2,4,4,5,4,5,5,1,2,3,2,3,5,29,13.0,0
0,1,21,0,2,2405,4,4,4,4,1,4,1,1,5,3,3,3,4,1,8,0.0,1
1,1,44,1,1,319,3,3,3,3,4,4,3,4,4,4,4,5,4,1,7,10.0,1
0,1,59,0,2,3883,1,3,1,3,1,1,1,1,3,3,3,5,3,1,9,6.0,0
1,0,24,1,2,1891,3,3,3,1,5,3,4,5,4,1,5,1,1,5,0,0.0,0
1,1,38,1,1,2964,2,2,4,2,2,5,5,5,5,5,5,3,5,5,0,0.0,1
0,1,42,0,2,3035,5,5,5,4,1,5,5,1,1,2,1,3,1,1,0,0.0,1
1,0,29,1,1,2109,5,5,5,4,1,5,1,1,4,3,4,4,4,1,0,0.0,1
0,1,43,1,1,3770,3,2,3,3,3,3,3,3,4,3,3,3,2,3,97,134.0,0
0,1,69,0,2,4048,4,2,4,3,5,4,5,5,4,2,2,4,2,5,0,0.0,0
1,1,43,1,1,1750,4,4,4,4,2,3,4,4,4,4,4,3,4,5,0,0.0,1
1,1,49,1,2,543,4,5,2,5,3,3,3,4,4,4,4,3,4,2,0,15.0,0
1,1,48,1,1,919,5,5,5,5,2,5,4,4,4,4,4,3,4,4,0,0.0,1
0,1,46,1,1,2833,5,5,4,5,3,4,5,4,4,4,5,3,4,5,0,0.0,1
1,1,41,1,1,495,4,4,4,4,5,4,4,3,3,4,3,5,3,4,0,4.0,1
0,1,60,1,1,216,4,4,4,4,2,4,5,4,4,4,5,5,4,4,0,1.0,1
0,1,64,0,1,959,5,5,5,2,3,4,5,1,1,5,1,4,1,1,3,0.0,1
1,1,30,1,1,4464,3,3,3,3,4,4,4,4,3,3,4,5,1,4,0,0.0,1
0,1,69,0,2,2201,2,5,2,3,2,2,2,2,4,3,3,3,4,2,69,65.0,0
1,1,16,0,2,2326,3,3,3,3,2,4,5,2,2,2,2,5,2,3,2,0.0,1
1,1,57,0,2,444,2,2,2,2,4,2,4,5,5,5,5,3,5,1,0,0.0,1
0,1,53,1,1,264,0,0,0,4,3,4,5,2,2,2,2,3,2,5,0,0.0,1
0,1,39,1,2,1525,4,1,5,5,4,4,4,4,5,3,3,3,5,4,0,0.0,1
0,0,32,1,1,2071,2,2,2,4,3,2,3,3,5,2,5,3,5,3,9,16.0,0
0,1,34,1,1,1875,3,3,3,3,3,4,5,4,4,4,4,4,4,5,1,0.0,1
1,1,51,1,1,1250,3,3,3,3,4,5,5,4,4,4,4,3,4,5,1,0.0,1
1,0,55,1,2,1139,1,0,1,5,1,1,1,1,3,4,1,4,3,1,0,0.0,0
1,1,36,0,2,1833,4,5,4,3,1,4,1,1,5,2,1,5,4,1,0,0.0,1
0,1,52,1,1,3395,1,1,1,1,4,4,4,3,3,3,3,5,3,3,5,1.0,1
1,0,24,1,2,1799,4,4,4,4,3,4,3,3,4,3,4,4,3,3,0,0.0,0
1,1,24,0,2,1550,1,1,1,1,4,4,5,1,1,2,1,5,1,5,14,0.0,1
0,1,40,1,2,3179,4,1,1,1,4,4,4,4,5,2,4,5,4,4,0,23.0,1
0,1,66,1,2,1622,4,2,2,2,3,4,3,3,2,2,4,2,4,3,0,0.0,0
1,1,44,1,2,238,2,4,4,4,3,1,3,2,2,2,2,3,2,1,1,0.0,1
0,1,21,0,3,2570,1,5,1,3,3,1,3,3,4,5,5,1,1,3,42,68.0,0
0,1,39,1,1,723,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,1
0,1,15,0,1,3019,1,5,1,2,5,1,5,5,5,2,3,4,5,5,33,3.0,0
1,0,22,1,2,2031,3,3,3,4,4,3,4,4,2,4,3,3,3,4,0,0.0,0
1,1,47,1,3,505,2,5,1,5,3,1,2,2,2,2,2,4,2,3,75,60.0,0
1,1,57,0,2,6924,3,4,3,5,3,3,3,3,1,5,1,3,3,3,12,17.0,0
1,1,45,1,2,723,4,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0.0,1
1,1,56,0,2,356,3,3,3,3,2,4,5,5,5,5,5,5,5,4,3,0.0,1
0,1,49,1,1,3862,1,1,1,1,2,5,4,4,4,4,4,5,4,4,0,0.0,1
1,1,55,1,2,388,5,1,1,1,2,1,5,5,5,5,5,5,5,5,14,5.0,1
0,0,22,1,2,1670,2,1,2,1,5,2,5,5,2,4,1,4,1,5,20,12.0,0
